Date,sma90 avg_transaction_value,wma30 avg_transaction_value,closing_price,dema7 opening_price,ema90 avg_transaction_value,tema30 highest_price,opening_price,tema7 closing_price,ema30 avg_transaction_value,dema90 avg_transaction_value,tema90 avg_transaction_value,sma90 closing_price,wma7 miner_revenue,bband_lower7 lowest_price,bband_upper30 closing_price,sma90 highest_price,ema90 opening_price,dema90 highest_price,bband_upper30 highest_price,tema30 closing_price,dema7 number_of_coins_in_circulation,dema90 closing_price,highest_price,dema7 lowest_price,tema7 lowest_price,dema7 closing_price,tema7 highest_price,bband_upper90 opening_price,bband_upper90 lowest_price,bband_upper90 closing_price,bband_upper30 lowest_price,tema90 opening_price,ema90 highest_price,ema30 number_of_coins_in_circulation,ema7 opening_price,wma30 number_of_coins_in_circulation,tema90 highest_price,wma90 avg_transaction_value,dema30 highest_price,tema30 opening_price,tema90 lowest_price,sma7 opening_price,bband_lower7 opening_price,tema30 lowest_price,lowest_price,wma7 closing_price,tema7 opening_price,sma7 closing_price,ema7 lowest_price,ema7 closing_price,bband_upper7 miner_revenue,ema7 miner_revenue,bband_lower30 highest_price,bband_lower30 lowest_price,bband_lower30 avg_hashrate,next_day_closing_price
2013-04-01,0.0,0.001012529983368704,0.0005608728189373316,0.00037704077363778093,0.0,0.0003136525480421301,0.0003875492707456976,0.0005900064184797271,0.0007501484089882555,0.0,0.0,0.0,0.0014324311894594738,0.0036129776613675404,0.0,0.0,0.0,0.0,0.0,0.0003518321118123058,0.0,0.0,0.0004791122513639265,0.0005394035213257611,0.0006779715110004358,0.0004686977526123168,0.0004446251698583051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013044735917976114,0.0,0.0,0.0,6.809207290125324e-05,0.0002781503104554578,0.0,0.0001779511136231829,0.002553664367361208,0.0005979545175249859,0.0006804530979159021,0.00030272851579868365,0.0004854991418254337,0.00024856257655785086,0.00016105409939277254,0.00020417723707457508,0.002505072258184207,0.0011337462653114722,0.0013017440195841057,0.0022245291509266213,0.0,118.0
2013-04-02,8.221522952384791e-05,0.0011852283081348232,0.0007814407814407745,0.00046871572402822775,0.00012357110762822865,0.00040850766695788715,0.0005608436601035327,0.00076877926265502,0.000925442470272396,0.0001797325466146131,0.00022436770554501093,2.1190808046800402e-05,0.0019041019530951775,0.0036525422049296444,0.0001012373427007815,2.065601049971305e-05,2.95683199338162e-05,5.573311278325027e-05,9.073565113979637e-05,0.00045569559314340147,0.0007794884649103828,5.7596429731091026e-05,0.0006707571519095068,0.0006155572598946363,0.0007568572275793578,0.0006212136242478919,0.0006057156192999166,4.76866879000476e-05,4.598309792530619e-05,6.140042731189038e-05,6.920750050851826e-05,6.956129770583491e-05,3.379180203943316e-05,0.0005764185261989407,0.0002041657203976574,0.000586641687922218,7.999499631047152e-05,0.00011609108512555116,0.00014662199940392723,0.00035167001749693283,6.723446986049014e-05,0.0002485740098913877,0.002617172576464731,0.0006683263026066102,0.0007900995686701343,0.00041378083827042084,0.0005900630650488362,0.00034032165855818475,0.00022806358609741423,0.0003165122399622425,0.002840847894946111,0.0015104305540382251,0.0012938073834746627,0.0022217921886024394,3.840399876581246e-09,135.0
2013-04-03,0.00016850652766231197,0.0013544824645551398,0.0010492733073378183,0.0006212374436249737,0.00024730516531154545,0.0005723585410855186,0.0007814001556498695,0.0010139609572643246,0.0010951679693227273,0.00035776044130635815,0.00044419375336065756,4.580209991394968e-05,0.0022742037617696637,0.0036375123738586618,0.0002412129922489542,4.691865242076321e-05,6.437779397624327e-05,0.0001291173733257711,0.0002592005041425899,0.0005948191296316144,0.0011522413591422698,0.00012517874239206805,0.001112776841877508,0.0007388044780609546,0.0008954887334446035,0.0008331455380779229,0.0009441236953252607,0.00010908522783093649,0.00010232661238644691,0.00014036801739272103,0.00015989328285395676,0.00015019124471631062,7.854489716682678e-05,0.001102971894496485,0.0003164943869965464,0.0011231980444293965,0.00018471568845526004,0.00023343743109214415,0.0002736469621977336,0.00045552978975064995,0.00014286536023038615,0.0003403373126083034,0.0026041895413985924,0.0007612412954709075,0.000967468859596074,0.000570648727096619,0.0007688530732193818,0.00044741263780413015,0.0003242475170215295,0.00047003012960820933,0.002764015998689154,0.0018190943202794213,0.0012239420230927903,0.002205721205070059,6.1866116743414246e-09,132.1
2013-04-04,0.00024780945575043206,0.001498939272255126,0.001003584229390675,0.0008331774836229933,0.000359867935802647,0.0006993074031276109,0.0010492187573847012,0.0011111903713979382,0.001237089235692261,0.0005175536062178646,0.0006388221011668291,6.980620530411957e-05,0.0024617708931773535,0.0037068603994907454,0.0003535912869125357,7.221734718516892e-05,0.00010557559063293503,0.00019674027941846833,0.00038695115791578805,0.000705783311871544,0.0018576311319178362,0.00018850156381781252,0.001037046195694176,0.0008592573123960071,0.0010232344104931096,0.0009439201390482807,0.0010758011115686167,0.00018805039053567535,0.00016277191430481147,0.00020942967052303696,0.00025751654672616364,0.00024441175300941864,0.00012030918214697706,0.0016703884796009927,0.00047000361742091656,0.0017002105644630117,0.0002799826750908424,0.0003413633171688024,0.0003780605831893366,0.0005946459562932438,0.0002217594634259662,0.0004474332178045007,0.002506411144755881,0.0008598939489730117,0.001070665537952993,0.0006892505328292761,0.001014058307743454,0.0005540390141032525,0.00042310652173570273,0.0005733524733901804,0.002886633214823006,0.002001897284179821,0.0011924893548674043,0.00218660831128948,1.2938417573438166e-08,142.3
2013-04-05,0.00032785518362724725,0.0016433205930886114,0.0011642837449289054,0.0009439563320566072,0.00047361065897901997,0.0008159806422785507,0.0010035320547358145,0.0012423118564597116,0.0013771406050746317,0.0006773883441817154,0.0008314913078293282,9.589498426526566e-05,0.0028852867787285824,0.0037106369395050603,0.0004798732911250672,9.804719650527427e-05,0.0001446476611269426,0.0002640291599350919,0.0005090083416373001,0.0008305674234872357,0.0025027644602638732,0.0002568542189095649,0.001080320850656083,0.0010298573702470504,0.0012120925620662595,0.0010789682831101113,0.0011565572981517142,0.00025710992078741696,0.0002366793592449984,0.00028630235761158834,0.00038469790431872736,0.00033153083559628316,0.00016230141397619718,0.0022355477603311913,0.0005733201332757884,0.0022757206611381253,0.0003737788764849245,0.0004513208188852806,0.0004771927875435872,0.0007056052980712324,0.00031138642577976244,0.0005540644986831364,0.0025768252880331993,0.0009856799766274696,0.0012931833756600827,0.0008225478975812939,0.0011112970568809555,0.0006743711773340641,0.0005548680533949482,0.0006924042137147757,0.0031368463453324003,0.0024374068130761928,0.0011611280072203953,0.0021430711221096174,2.0995936728801512e-08,142.6
2013-04-06,0.0003941182970573637,0.001719976469788555,0.0011690102012682571,0.0010790096543093208,0.0005520057121982842,0.0009124415186901533,0.0011642232157767218,0.0013020990089257986,0.0014426531776503028,0.0007838810234483511,0.0009552702692594492,0.0001220444818741187,0.0033734838183582944,0.0037456348495415806,0.0005906290676120987,0.00012369999430681539,0.0001871530243967856,0.0003283979872221593,0.0006120207710148054,0.0009379950415970562,0.0027584027805023226,0.00032314387765337155,0.0010648656167411147,0.0011999842087026535,0.0013909488072058607,0.0011605970327964593,0.001174886236978312,0.0003339802448948659,0.0003172528447977496,0.00035819215273015514,0.0005169194785428141,0.00042504451868721066,0.00020296150988913242,0.0027474789745171035,0.0006923651584520504,0.00279694547019127,0.0004623877918992006,0.000529134950475206,0.0005639421690153482,0.0008303829960123882,0.00040661114268296383,0.0006744021969296229,0.002655874148856485,0.0011214552288841897,0.0014431410488974852,0.0009272033296563731,0.0012424311309273198,0.0007914511199370103,0.0006925182373965916,0.000782915371384349,0.0034348779133433066,0.0029473987617578273,0.0011559341320396058,0.0021140442270639395,2.946251905638908e-08,162.3
2013-04-07,0.00043706909685951867,0.001721473790672716,0.001479380834219536,0.0011606415339109333,0.0005912903234218669,0.0010547673065288976,0.0011689494263955671,0.0014987613019602636,0.0014293832152155704,0.0008321287915193966,0.001004779871442249,0.0001521406915833759,0.004201549529710663,0.0038443322717588227,0.0007422866127734587,0.0001534643218173426,0.00022885043972909608,0.00040492540428050533,0.0007562553210016254,0.0010873449075081004,0.0034531775592380187,0.0004009916726411683,0.0013894255289553861,0.0013244982706157246,0.0015036782795053924,0.0013420995649946685,0.0013577008677406396,0.0004058678302009122,0.00039577221518875133,0.0004495214242781487,0.000644062341293411,0.000514660987982668,0.00025132180148735445,0.0033108266524964902,0.0007828712108132255,0.003368310244236339,0.0005677292751396223,0.0005707982893134352,0.0006830416728496672,0.0009378056715783831,0.0005007654726221639,0.0007914875249532272,0.0028166484307793824,0.0012470581051767723,0.0014931269399766078,0.001082284699542961,0.0013022240235627397,0.0009524360410160734,0.0008086988871502387,0.0009310665489518297,0.0048889395567601746,0.0038064184720740524,0.001127595555930061,0.0020854574215158905,3.6567556534888856e-08,187.5
2013-04-08,0.0005094221379564577,0.0018291464636605512,0.001876403166725736,0.0013421510255143335,0.0006887269073716125,0.0012631037907657391,0.0014793039237000552,0.001821735516682181,0.001534654386262553,0.0009649701053977347,0.001160064492210653,0.0001873170281500719,0.004445601397268822,0.003947855293737902,0.0009495940907201725,0.00018907134944064902,0.00027792091718586986,0.0004993372850997171,0.0009697127916478213,0.0012894091766303128,0.004092065003766798,0.0004938551957232098,0.0018530825464043513,0.0015391577299336892,0.001736074615223543,0.0016261770603850714,0.001713902948708386,0.0004971942943884436,0.0004949041750341235,0.0005673224349040523,0.0008140032242700546,0.0006200925153499251,0.000310896121200957,0.0038721795362396394,0.0009310140318700977,0.00393796088981313,0.000697933299413242,0.0006669424330632244,0.0008491857593364988,0.0010871462765370057,0.0006113047167766242,0.0009524798509856908,0.0030077740663015176,0.0014144107348935606,0.0018156165598419774,0.001299087417310836,0.0014989051981604412,0.001146407771320565,0.000979337676093886,0.0011448575359216256,0.004979214703684676,0.003975484264227405,0.0010489415816014036,0.00202573745766825,4.382792232263122e-08,230.0
2013-04-09,0.0006307319454776153,0.0020686203721691446,0.0025459844814683455,0.0016262394133720048,0.0008589076985460811,0.0015729029568699177,0.0018763056156834573,0.0023689057598652655,0.0017824665010908944,0.0012028236342124417,0.0014456094889695008,0.00023107493359150744,0.005569005084378589,0.004010869333664742,0.0012646570623288042,0.00023357029777430066,0.0003365167357397697,0.0006213946386633418,0.0012981653271877253,0.001588375793268773,0.00426757801702593,0.0006133257192980912,0.002551659119360776,0.0018392589693701014,0.0020704747098471143,0.0020953414762606773,0.002299421536313538,0.0006149916839420025,0.0006194005676202069,0.0007366186485259843,0.0010350534314201715,0.0007461710487569537,0.00038765829865148455,0.004369304320600231,0.0011447929598965775,0.004441696125133676,0.0008668917310035024,0.0008319057918543434,0.001087924091911066,0.001289195913840059,0.0007415102085528771,0.0011464605035644837,0.003083578381265814,0.0016297747831776135,0.002200991655581075,0.0016392175715548365,0.0018219104216639498,0.001406585421549346,0.0012071032132475942,0.0014783673698495065,0.006754532514305675,0.005084866017574116,0.0008849033946242146,0.001929851797052476,4.855651475690892e-08,165.0
2013-04-10,0.000801252990022195,0.0024367219911439076,0.0015219189412737782,0.0020954218185572984,0.0011010827996628184,0.0019150632692335606,0.0025458521200205433,0.0020551521136039017,0.0021653161497404913,0.001543466754206059,0.0018572441504354862,0.00026161641338388886,0.005000315121474919,0.003966196514170829,0.0013586484752190972,0.0002830857058007327,0.0004117081491052041,0.000757028243145004,0.0016563420000231185,0.001654088768774209,0.005011887662974779,0.0006833734641577618,0.0029519496777583726,0.0014419175460227904,0.0014732064403216866,0.0019349077934175535,0.0028308282567758025,0.0007842826935861927,0.0006475372056122461,0.0008085098587860481,0.001054011970438494,0.0009094164913209732,0.00047333244508476063,0.004933522343969043,0.001478283982104471,0.005010984823265341,0.0010538196520110121,0.0010656259414820388,0.0013539237596210882,0.0015881382143763043,0.0007817425970650521,0.001406650121394723,0.0029469622418375127,0.0015694118405866,0.0008868464546297403,0.0016525876487802973,0.002369133198708351,0.001476275863574912,0.0010376514119770572,0.0014636567196357822,0.006804538192105664,0.004408784235320387,0.000715737678057625,0.0019830588078593794,5.2176050303193167e-08,124.9
